Leucopleurus acutus
Freyella elegans
Candacia bispinosa
Turborotalita quinqueloba
Corethron criophilum
Nitzschia longissima
Regalecus glesne
Miracia efferata
Taaningichthys bathyphilus
Rhaphoneis amphiceros
Nemichthys scolopaceus
Uroconger syringinus
Mikroconchoecia curta
Scaphocalanus echinatus
Sigmops elongatus
Mesocalanus tenuicornis
Larus hyperboreus
Calycopsis gara
Serrivomer beanii
Allosergestes sargassi
Heterorhabdus abyssalis
Halocypria globosa
Ctenocalanus vanus
Syracosphaera pulchra
Lampanyctus photonotus
Allosergestes pectinatus
Umbilicosphaera foliosa
Dytaster grandis
Parapagurus abyssorum
Gigantocypris muelleri
Poromitra capito
Derichthys serpentinus
Vinciguerria poweriae
Neocalanus robustior
Leptocylindrus danicus
Candacia longimana
Rhizosolenia pungens
Proboscia curvirostris
Ophiuroglypha irrorata
Odontella regia
Stygiomedusa gigantea
Pulleniatina obliquiloculata
Tripos inflatus
Proboscia inermis
Sterna hirundo
Tripos brevis
Xenodermichthys copei
Nitzschia delicatissima
Tripos karstenii
Robustosergia robusta
Meningodora vesca
Ceratoscopelus warmingii
Nansenia tenera
Gardinerosergia splendens
