Actinia equina
Cirratulus cirratus
Macropodia rostrata
Nucula nucleus
Eupolymnia nebulosa
Pontophilus spinosus
Gaidropsarus mediterraneus
Haliclona (Rhizoniera) viscosa
Gonyaulax polygramma
Ceratium arcticum
Edmundsella pedata
Doto pinnatifida
Symphyocladiella parasitica
Dendrodoa grossularia
Chaetoceros holsaticus
Limacia clavigera
Diaphorodoris luteocincta
Lophius budegassa
Galeus melastomus
Penilia avirostris
Megaluropus massiliensis
Hormathia digitata
Phtisica marina
Polymastia inflata
Teleaulax amphioxeia
Monocorophium insidiosum
Arcopagia crassa
Fucus vesiculosus
Aricidea (Strelzovia) suecica
Chaetoceros laciniosus
Scomber scombrus
Skeletonema costatum
Crisia denticulata
Bispira volutacornis
Suberites pagurorum
Nephtys cirrosa
Trapania lineata
Alentia gelatinosa
Asterionella glacialis
Stenosoma capito
Haliclystus auricula
Oshurkovia littoralis
Asparagopsis armata
Turbonilla acuta
Pisione remota
Gymnodinium agiliforme
Clathria (Microciona) spinarcus
Halopteris catharina
Raspailia (Raspailia) ramosa
Halichondria (Halichondria) bowerbanki
Aurelia aurita
Cradoscrupocellaria reptans
Sphaerosyllis hystrix
Scophthalmus maximus
Nephtys kersivalensis
Arabella iricolor
Leptasterias (Leptasterias) muelleri
Alosa fallax
Acartia (Acartiura) clausi
Benthosema glaciale
Pasiphaea sivado
Hiatella arctica
Chaetoceros affinis
Melosira moniliformis
Microdeutopus algicola
Salpa fusiformis
Vertebrata lanosa
Caprella danilevskii
Thunnus thynnus
Nemertesia ramosa
Nemertesia antennina
Phyllodoce lineata
Antiopella cristata
Ectopleura larynx
Adna anglica
Calliblepharis jubata
Himanthalia elongata
Chelidonichthys cuculus
Amphicteis gunneri
Ampharete acutifrons
Cottus gobio
Aeginopsis laurentii
Oithona similis
Aetideus armatus
Myrtea spinifera
Leptochiton asellus
Caulleriella alata
Arenicola defodiens
Lepidonotus squamatus
Amphidinium crassum
Chaetoceros subtilis
Caprella penantis
Cirriformia tentaculata
Pseudolithoderma extensum
Galathea intermedia
Neogloboquadrina incompta
Pentapora foliacea
Parablennius gattorugine
Euclymene lombricoides
Diplecogaster bimaculata
Chelidonichthys lucerna
Harpinia crenulata
Arenicolides ecaudata
Actinocyclus octonarius
Laboea strobila
Peridiniella catenata
Ericthonius brasiliensis
Chaetomorpha linum
Apseudes talpa
Reptadeonella violacea
Myxicola aesthetica
Pelvetia canaliculata
Plumulojassa ocia
Rhizosolenia setigera
Raja clavata
Sorgenfreispira brachystoma
Lepidepecreum longicorne
Chaetozone gibber
Pista cristata
Hydroides norvegica
Lumbrineris latreilli
Cerithiopsis minima
Parafavella gigantea
Nototropis swammerdamei
Epitonium clathrus
Chauliodus sloani
Brachynotus sexdentatus
Terpios gelatinosus
Nais elinguis
Rhizosolenia hebetata
Calyptraea chinensis
Hygophum benoiti
Sertularia argentea
Polymastia mamillaris
Cellepora pumicosa
Ophiura albida
Ascidia mentula
Pagurus bernhardus
Pollicipes pollicipes
Cliona celata
Chorda filum
Symphodus melops
Glycera unicornis
Ampithoe ramondi
Tethya citrina
Ampelisca typica
Mangelia costata
Cochlodesma praetenue
Donax vittatus
Phalacroma rotundatum
Quinqueloculina seminulum
Luidia ciliaris
Hypoglossum hypoglossoides
Anemonia viridis
Dosinia exoleta
Coryphella browni
Pseudothyone raphanus
Gitana sarsi
Othomaera othonis
Octactis speculum
Nanomia cara
Travisia forbesii
Paucibranchia bellii
Scyliorhinus canicula
Hemiselmis virescens
Macoma calcarea
Nephtys ciliata
Proboscia alata
Tubificoides amplivasatus
Delesseria sanguinea
Halecium beanii
Arthrocladia villosa
Pholis gunnellus
Talochlamys pusio
Gyrodinium prunus
Microspio mecznikowiana
Levinsenia gracilis
Balanus crenatus
Amphisbetia operculata
Sporochnus pedunculatus
Malmgrenia andreapolis
Bugulina turbinata
Dictyota spiralis
Aricidea (Acmira) laubieri
Glycera oxycephala
Antedon bifida
Apistobranchus tullbergi
Thalassiosira baltica
Heteromastus filiformis
Saduria entomon
Clione limacina
Dilsea carnosa
Aeolidiella glauca
Hermaea bifida
Phyllodoce groenlandica
Musculus costulatus
Jujubinus montagui
Rhodomela confervoides
Malacoceros fuliginosus
Osmerus eperlanus
Phycis blennoides
Porania (Porania) pulvillus
Ephesiella abyssorum
Lytocarpia myriophyllum
Onchidoris bilamellata
Scutopus ventrolineatus
Synchaeta baltica
Anabaena spiroides
Miraltia throndsenii
Centropages bradyi
Fucus ceranoides
Stomias boa
Diplopsalis lenticula
Carcinus maenas
Duvaucelia plebeia
Gibbula magus
Ciliata mustela
Palaeophalacroma verrucosum
Tripos fusus
Priapulus caudatus
Baltidrilus costatus
Electra pilosa
Rhodymenia pseudopalmata
Necora puber
Kurtiella bidentata
Pectinaria belgica
Protula tubularia
Devonia perrieri
Macropodia tenuirostris
Zostera subg. Zostera marina
Terebratulina retusa
Tricolia pullus
Rhizostoma pulmo
Syllis variegata
Gymnodinium catenatum
Scolelepis (Scolelepis) squamata
Parazoanthus anguicomus
Chaetoceros socialis
Syllis pontxioi
Cumopsis fagei
Calliopius laeviusculus
Lobianchia gemellarii
Onchidoris muricata
Pontophilus norvegicus
Tripos macroceros
Merlangius merlangus
Verrucaria maura
Buccinum undatum
Scalibregma celticum
Protoperidinium mite
Astarte sulcata
Nereis pelagica
Bacteriastrum delicatulum
Spatulodinium pseudonoctiluca
Ilyarachna longicornis
Peltogaster paguri
Brachystomia scalaris
Leptostylis macrura
Synedra acus
Ascidiella aspersa
Eteone flava
Tritia varicosa
Pleuronectes platessa
Tubificoides benedii
Eteone longa
Ceratoneis closterium
Prorocentrum aporum
Haraldiophyllum bonnemaisonii
Tripos minutus
Biddulphia sinensis
Dissodinium pseudolunula
Mya arenaria
Phyllophora crispa
Diazona violacea
Tethya aurantium
Thyone fusus
Doto lemchei
Doto tuberculata
Simnia patula
Asterina gibbosa
Diogenes pugilator
Elasmopus rapax
Trichobranchus roseus
Eualus occultus
Coryphella verrucosa
Pseudopotamilla reniformis
Lineus ruber
Planktolyngbya contorta
Merismopedia warmingiana
Gammarus oceanicus
Tripos carriensis
Alcyonidium diaphanum
Glyphohesione klatti
Heteroclymene robusta
Hesionura elongata
Octopus vulgaris
Laetmonice hystrix
Diaphanoeca sphaerica
Orchestia gammarellus
Polititapes aureus
Caprella linearis
Abietinaria abietina
Suberites ficus
Aplidium punctum
Corallina officinalis
Thyone roscovita
Callianassa subterranea
Lampanyctus photonotus
Terebellides gracilis
Heteromysis (Heteromysis) formosa
Tharyx robustus
Doto hystrix
Tubularia indivisa
Mesodinium rubrum
Dinobryon faculiferum
Undeuchaeta plumosa
Steromphala cineraria
Tritonia hombergii
Guttigadus latifrons
Chaetopterus variopedatus
Membranoptera alata
Aglaophenia pluma
Abra alba
Polycirrus norvegicus
Echinocardium flavescens
Polititapes rhomboides
Paracalanus parvus
Parasagitta setosa
Pyxidicula compressa
Tripos teres
Pullenia bulloides
Thurammina papillata
