Gadus morhua
Rhizosolenia semispina
Coscinodiscus sol
Globigerina falconensis
Candacia bipinnata
Mesocalanus tenuicornis
Mecynocera clausi
Gymnodinium wulffii
Globigerinella siphonifera
Thalassionema nitzschioides
Agonus cataphractus
Syndendrium diadema
Undeuchaeta plumosa
Chaetoceros convolutus
Pseudo-nitzschia pseudodelicatissima
Tripos teres
Phaeocystis pouchetii
Corymorpha nutans
Turbonilla lactea
Rhodinicola rugosa
Globigerinoides extremus
Bolivina petterssoni
Timoclea ovata
Inachus leptochirus
Hyas araneus
Nuculana pernula
Hansenisca soldanii
Illex coindetii
Clavelina lepadiformis
Laminaria hyperborea
Leitoscoloplos mammosus
Galathea squamifera
Mya truncata
Dipolydora caulleryi
Eudesme virescens
Nitophyllum punctatum
Onoba semicostata
Spio armata
Pullenia quinqueloba
Aslia lefevrei
Philine quadripartita
Myoxocephalus scorpius
Harpinia pectinata
Pleuromamma robusta
Corethron hystrix
Microclymene tricirrata
Spirosigmoilina pusilla
Lycenchelys sarsii
Edwardsia claparedii
Galathowenia oculata
Euspira nitida
Gadiculus argenteus
Epizoanthus couchii
Spirobranchus lamarcki
Sphaeroidinella dehiscens
Pycnogonum litorale
Pyrgo elongata
Pyrgo lucernula
Ophiura robusta
Plakortis simplex
Heterosigma akashiwo
Drachiella spectabilis
Parvicardium pinnulatum
Sepia elegans
Squalus acanthias
Venus casina
Pullenia salisburyi
Musculus niger
Antedon bifida
Uvigerina pygmaea
Nitzschia delicatissima
Asterionella glacialis
Chaetoceros affinis
Loligo forbesii
Pentapora foliacea
Parablennius gattorugine
Botrylloides leachii
Actinia equina
Sertularella polyzonias
Mycale (Aegogropila) rotalis
Polymastia penicillus
Bicosoeca gracilipes
Leucosolenia botryoides
Prorocentrum balticum
Globigerinella calida
Pterosperma marginatum
Cryptosula pallasiana
Calanus helgolandicus
Parablennius ruber
Pseudonodosinella nodulosa
Tergipes tergipes
Bulimina striata
Lepidorhombus whiffiagonis
Dactyliosolen antarcticus
Plagioselmis prolonga
Cryptopleura ramosa
Synoicum incrustatum
Henricia oculata
Amphidinium acutissimum
Myxilla (Myxilla) incrustans
Haliclona (Halichoclona) fistulosa
Centrolabrus exoletus
Leptocylindrus danicus
Globorotaloides hexagonus
Alaria esculenta
Balanus balanus
Metacallophyllis laciniata
Gavelinopsis praegeri
Ophiura ophiura
Membranipora membranacea
Adercotryma glomeratum
Rhizosolenia acuminata
Eggerella bradyi
Quinqueloculina seminulum
Bolivinellina pseudopunctata
Metridia lucens
Tripos candelabrum
Cribroelphidium excavatum
Portatrochammina karica
Clelandella miliaris
Callithamnion corymbosum
Pseudosyllis brevipennis
Scoletoma fragilis
Prionospio dubia
Acidostoma obesum
Lithothamnion corallioides
Galathea dispersa
Limatula subauriculata
Peringia ulvae
Pagurus pubescens
Pseudosuberites sulphureus
Xanthocalanus hirtipes
Tolypammina vagans
Thyonidium drummondii
Eumida ockelmanni
Odontella regia
Acanthodoris pilosa
Caecum glabrum
Ascidia conchilega
Desmarestia viridis
Adalaria proxima
Porphyropsis coccinea
Porcellana platycheles
Chone infundibuliformis
Epistominella arctica
Chaetozone christiei
Jasmineira caudata
Rhodine loveni
Eubranchus tricolor
Xantho pilipes
Platichthys flesus
Catriona gymnota
Edwardsiella carnea
Processa nouveli
Rhizammina algaeformis
Axinella infundibuliformis
Thracia pubescens
Sphaerodorum gracilis
Golfingia (Golfingia) elongata
Euchone rubrocincta
Hydroides elegans
Apherusa bispinosa
Fursenkoina complanata
Calanus hyperboreus
Amphipholis squamata
Rubramoena rubescens
Amphilectus fucorum
Scinaia furcellata
Lipophrys pholis
Neogyptis rosea
Glycera tridactyla
Halichondria (Halichondria) bowerbanki
Spanioplon armaturum
Quasillina brevis
Ctenodrilus serratus
Leptasterias (Leptasterias) muelleri
Nephtys kersivalensis
Ophryotrocha hartmanni
Parapleustes bicuspis
Velutina velutina
Lithophyllum incrustans
Pettibonesia furcosetosa
Subreophax aduncus
Fissurina bassensis
Lesueurigobius friesii
Kallymenia reniformis
Zeugopterus punctatus
Heterosiphonia plumosa
Anapagurus hyndmanni
Testudinalia testudinalis
Pseudobolivina antarctica
Lagenammina tubulata
Steromphala tumida
Phycodrys rubens
Dyopedos porrectus
Colpomenia peregrina
Buenia jeffreysii
Callionymus reticulatus
Haliclona (Haliclona) oculata
Schizotricha frutescens
Cyclopterus lumpus
Kirkegaardia dorsobranchialis
Facelina annulicornis
Pseudopolydora pulchra
Urothoe elegans
Tanaopsis graciloides
Flabelligera affinis
Astrorhiza limicola
Favorinus branchialis
Xanthocalanus minor
Colpodaspis pusilla
Philocheras sculptus
Ampelisca diadema
Varicorbula gibba
Corella parallelogramma
Filograna implexa
Polycarpa pomaria
Metridium senile
Cutleria multifida
Halurus flosculosus
Anobothrus gracilis
Nymphon brevirostre
Mimachlamys varia
Spirorbis (Spirorbis) spirorbis
Littorina obtusata
Ulva intestinalis
Scalpellum scalpellum
Rolandia coralloides
Boreotrophon truncatus
Acanthocardia echinata
Jaera (Jaera) forsmani
Caberea ellisii
Nuculana minuta
Venerupis corrugata
Bodotria arenosa
Ensis magnus
Asperococcus bullosus
Aglaothamnion bipinnatum
Solaster endeca
Recurvoides turbinatus
Melonis affinis
Unciola planipes
Alcyonium glomeratum
Cruoria cruoriiformis
Dudresnaya verticillata
Reophax rostrata
Ammodiscus gullmarensis
Cribrostomoides sphaerilocula
Hydrallmania falcata
Molgula oculata
Facelina auriculata
Boltenia echinata
Ocnus lacteus
Papillicardium minimum
Hero formosa
Nicolea zostericola
Nototropis falcatus
Clausocalanus arcuicornis
Myriochele danielsseni
Retusa truncatula
Fucus vesiculosus
Pontocrates altamarinus
Monocorophium acherusicum
Amphiura chiajei
Saccammina sphaerica
Gitanopsis bispinosa
Tripos extensus
Alcyonidioides mytili
Sunamphitoe pelagica
Adalaria loveni
Psammatodendron arborescens
Philine aperta
Hesiospina aurantiaca
Jaxea nocturna
Dichromadora hyalocheile
Pleuromamma piseki
Proboscia inermis
Odontella aurita
Pododesmus patelliformis
Palmaria palmata
Leptocheirus pectinatus
Nephtys hombergii
Lafoea dumosa
Myrianida pinnigera
Echinogammarus obtusatus
Psamathe fusca
Magelona mirabilis
Argissa hamatipes
Amphiduros fuscescens
Cylindrotheca closterium
Chirimia biceps
Rhabdocoma americana
Eumida sanguinea
Phoxichilidium femoratum
Pandalus montagui
Eledone cirrhosa
Eubranchus vittatus
Vertebrata nigra
Pandalina brevirostris
Crassicorophium bonellii
Leptolaimus ampullaceus
Aponuphis bilineata
Amphitritides gracilis
