Ceratium arcticum
Thunnus alalunga
Neocalanus gracilis
Mecynocera clausi
Thalassionema nitzschioides
Paraeuchaeta norvegica
Thalassiothrix longissima
Rhizosolenia semispina
Corethron hystrix
Pleuromamma robusta
Centropages typicus
Rhizosolenia styliformis
Pleuromamma xiphias
Tripos minutus
Globigerina falconensis
Eucalanus hyalinus
Thunnus obesus
Calanus finmarchicus
Calanus glacialis
Heterorhabdus norvegicus
Heterorhabdus papilliger
Candacia armata
Metridia lucens
Centropages hamatus
Tripos longipes
Calanus helgolandicus
Tripos platycornis
Pleuromamma gracilis
Tripos macroceros
Tripos massiliensis
Pleuromamma borealis
Rhizosolenia imbricata
Pleuromamma abdominalis
Tripos fusus
Centropages bradyi
Climacodium frauenfeldianum
Pulleniatina obliquiloculata
Globigerinita uvula
Coryphaena hippurus
Lepidocybium flavobrunneum
Nannocalanus minor
Pleuromamma piseki
Undeuchaeta plumosa
Xiphias gladius
Tripos horridus
Tripos trichoceros
Eucampia striata
Acartia (Acartia) danae
Tripos candelabrum
Odontella regia
Pseudo-nitzschia delicatissima
Cylindrotheca closterium
Tripos muelleri
Tripos lineatus
Clione limacina
Tripos hexacanthus
Aetideus armatus
Rhincalanus nasutus
Euchaeta marina
Metridia longa
Euchaeta media
Globoconella inflata
Globigerina bulloides
Globigerinoides ruber
Globigerinita glutinata
Tripos arietinus
Coscinodiscus concinnus
Thunnus albacares
Dermochelys coriacea
Candacia ethiopica
Euchirella rostrata
Undinula vulgaris
Scolecithrix bradyi
Pseudo-nitzschia seriata
Euchaeta acuta
Tripos declinatus
Candacia pachydactyla
Euchirella messinensis
Leptocylindrus danicus
Rhincalanus cornutus
Candacia bipinnata
Chelonia mydas
Tripos teres
Centropages chierchiae
Euchaeta pubera
Lauderia mediterranea
Lauderia annulata
Eusergestes arcticus
Lepidochelys kempii
Systellaspis debilis
Lauderia confervacea
Dactyliosolen antarcticus
Tripos furca
Ditylum brightwellii
Navicula planamembranacea
Globorotalia menardii
Helicosphaera carteri
Calanus hyperboreus
Coscinodiscus sol
Globoturborotalita rubescens
Globorotalia truncatulinoides
Paralia sulcata
Scolecithrix danae
Tripos azoricus
Proboscia alata
Globorotalia (Truncorotalia) crassaformis
Globigerinoides conglobatus
Zoothamnium pelagicum
Candacia simplex
Temora stylifera
Temora longicornis
Caretta caretta
Undeuchaeta major
Skeletonema costatum
Rhizosolenia indica
Rhizosolenia acuminata
Centropages violaceus
Tripos pentagonus
Syracosphaera pulchra
Tripos bucephalus
Tripos inflatus
Eretmochelys imbricata
Prorocentrum micans
Gennadas tinayrei
Globorotalia hirsuta
Beella digitata
Globigerinella siphonifera
Nitzschia longissima
Turborotalita quinqueloba
Candacia curta
Calycopsis gara
Tripos extensus
Allosergestes pectinatus
Heterorhabdus abyssalis
Rhizosolenia bergonii
Odontella aurita
Thunnus thynnus
Mesocalanus tenuicornis
Proboscia inermis
Neogloboquadrina dutertrei
Globorotalia tumida
Tripos brevis
Vibrio paxillifer
Biddulphia sinensis
Neogloboquadrina incompta
Acanthocybium solandri
Rhizosolenia fragilissima
Scaphocalanus echinatus
Rhizosolenia pungens
Trilobatus sacculifer
Coccolithus pelagicus
Emiliania huxleyi
Neogloboquadrina pachyderma
Globorotalia scitula
Cyclococcolithina leptopora
Gephyrocapsa oceanica
Aristostomias tittmanni
Proboscia curvirostris
Orbulina universa
Parasergestes vigilax
Miracia efferata
Rhaphoneis amphiceros
Ctenocalanus vanus
Pontellina plumata
Neocalanus robustior
Umbilicosphaera hulburtiana
Rhabdolithes claviger
Calciosolenia murrayi
Agalma elegans
Limacina retroversa
Tripos falcatiformis
Neodenticula seminae
Eucalanus elongatus
Tripos carriensis
Candacia longimana
Gephyrocapsa caribbeanica
Asterionella glacialis
Turborotalita humilis
Tripos longirostrus
Acartia (Acartia) negligens
Tripos pulchellus
Calanoides carinatus
Tripos gibberus
Sarda sarda
Gephyrocapsa ericsonii
Rhizosolenia delicatula
Nitzschia delicatissima
Globigerinella calida
Corethron criophilum
Acanthephyra purpurea
Eucampia zodiacus
Umbilicosphaera foliosa
Tripos karstenii
Rhizosolenia flaccida
Tripos vultur
Tripos compressus
Candacia bispinosa
Coronosphaera mediterranea
